epoch,loss,val_loss
0,0.18802370131015778,0.12512922286987305
1,0.11166717112064362,0.13243189454078674
2,0.1072484478354454,0.1233782097697258
3,0.1044047474861145,0.10101867467164993
4,0.10253294557332993,0.09998200088739395
5,0.1009688675403595,0.10067225247621536
6,0.09974957257509232,0.1002674251794815
7,0.09874773770570755,0.09646739810705185
8,0.0977749228477478,0.09880762547254562
9,0.09689784795045853,0.09609728306531906
10,0.0961042121052742,0.09634370356798172
11,0.09541037678718567,0.09738536924123764
12,0.09479811042547226,0.0965946763753891
13,0.09412016719579697,0.09495861828327179
14,0.09354708343744278,0.09426720440387726
15,0.09296074509620667,0.0948643833398819
16,0.09243673831224442,0.09783348441123962
17,0.09186294674873352,0.09500288218259811
18,0.09138236939907074,0.09383373707532883
19,0.09082844108343124,0.1046823263168335
20,0.09038601815700531,0.100762739777565
21,0.0898551195859909,0.09390789270401001
22,0.08940631151199341,0.09372890740633011
23,0.08895309269428253,0.09392137825489044
24,0.08848217129707336,0.09414888173341751
25,0.0879712700843811,0.09508539736270905
26,0.08748951554298401,0.09476736187934875
27,0.0871041789650917,0.09472310543060303
28,0.08197887241840363,0.09408528357744217
29,0.0811205506324768,0.09458800405263901
30,0.08064495772123337,0.09564857929944992
