epoch,loss,val_loss
0,0.2529216408729553,0.11694689840078354
1,0.11709757894277573,0.11788921058177948
2,0.11076825112104416,0.10410865396261215
3,0.10668963938951492,0.10615026950836182
4,0.10415592789649963,0.10013170540332794
5,0.10231516510248184,0.10029550641775131
6,0.10066592693328857,0.09681233763694763
7,0.09934942424297333,0.1028389111161232
8,0.09836205095052719,0.0963229164481163
9,0.09735267609357834,0.09586484730243683
10,0.09644168615341187,0.09889914095401764
11,0.09557625651359558,0.12406789511442184
12,0.09482470154762268,0.10247620195150375
13,0.09413989633321762,0.09733082354068756
14,0.09335745871067047,0.09527300298213959
15,0.0927034318447113,0.09498541057109833
16,0.09201326966285706,0.09651739150285721
17,0.09140395373106003,0.09580609202384949
18,0.09061240404844284,0.09698183834552765
19,0.09005281329154968,0.09611859917640686
20,0.0893697515130043,0.09620989114046097
21,0.08341463655233383,0.09576922655105591
22,0.0822233036160469,0.09564641863107681
23,0.08166603744029999,0.09569437801837921
